,time,open,high,low,close
0,2024-10-01 07:28:35,1.10353,1.1036,1.10353,1.10358
1,2024-10-01 07:28:40,1.1036,1.10365,1.10358,1.10365
2,2024-10-01 07:28:45,1.10364,1.10366,1.10359,1.10359
3,2024-10-01 07:28:50,1.10358,1.10358,1.10343,1.10345
4,2024-10-01 07:28:55,1.10344,1.10347,1.10338,1.10344
5,2024-10-01 07:29:00,1.10346,1.10357,1.10345,1.10357
6,2024-10-01 07:29:05,1.10356,1.10366,1.10356,1.10366
7,2024-10-01 07:29:10,1.10364,1.10366,1.1036,1.10362
8,2024-10-01 07:29:15,1.10364,1.10368,1.10363,1.10366
9,2024-10-01 07:29:20,1.10365,1.10365,1.10357,1.10357
10,2024-10-01 07:29:25,1.1036,1.10363,1.10356,1.10356
11,2024-10-01 07:29:30,1.10355,1.10358,1.10351,1.10356
12,2024-10-01 07:29:35,1.10354,1.10357,1.10352,1.10355
13,2024-10-01 07:29:40,1.10356,1.10362,1.10351,1.10353
14,2024-10-01 07:29:45,1.10355,1.10363,1.10353,1.10361
15,2024-10-01 07:29:50,1.1036,1.1037,1.1036,1.10368
16,2024-10-01 07:29:55,1.10367,1.10367,1.10363,1.10364
17,2024-10-01 07:30:00,1.10366,1.10366,1.10361,1.10364
18,2024-10-01 07:30:05,1.10365,1.10365,1.10351,1.10358
19,2024-10-01 07:30:10,1.10359,1.10364,1.10359,1.10361
20,2024-10-01 07:30:15,1.10361,1.1037,1.10361,1.1037
21,2024-10-01 07:30:20,1.10371,1.10375,1.1037,1.10374
22,2024-10-01 07:30:25,1.10384,1.10384,1.10377,1.10381
23,2024-10-01 07:30:30,1.10382,1.10399,1.10382,1.10398
24,2024-10-01 07:30:35,1.10398,1.104,1.10387,1.104
25,2024-10-01 07:30:40,1.10399,1.10403,1.10399,1.104
26,2024-10-01 07:30:45,1.10402,1.10403,1.10397,1.10401
27,2024-10-01 07:30:50,1.10401,1.10401,1.10396,1.10399
28,2024-10-01 07:30:55,1.104,1.10401,1.1039,1.1039
29,2024-10-01 07:31:00,1.10386,1.10386,1.10378,1.1038
30,2024-10-01 07:31:05,1.1038,1.10387,1.10378,1.10385
31,2024-10-01 07:31:10,1.1038,1.10385,1.10374,1.10374
32,2024-10-01 07:31:15,1.10373,1.10374,1.1037,1.10374
33,2024-10-01 07:31:20,1.10374,1.10378,1.10372,1.10378
34,2024-10-01 07:31:25,1.10379,1.10382,1.10377,1.10377
35,2024-10-01 07:31:30,1.10377,1.10382,1.10376,1.10382
36,2024-10-01 07:31:35,1.10382,1.10384,1.1038,1.1038
37,2024-10-01 07:31:40,1.10379,1.10393,1.10379,1.10393
38,2024-10-01 07:31:45,1.10393,1.10405,1.10393,1.10403
39,2024-10-01 07:31:50,1.10403,1.10418,1.10403,1.10418
40,2024-10-01 07:31:55,1.10417,1.10421,1.10415,1.10417
41,2024-10-01 07:32:00,1.10415,1.10416,1.10412,1.10412
42,2024-10-01 07:32:05,1.10402,1.10411,1.10402,1.10408
43,2024-10-01 07:32:10,1.1041,1.10411,1.10408,1.1041
44,2024-10-01 07:32:15,1.10411,1.10414,1.10404,1.10405
45,2024-10-01 07:32:20,1.10404,1.10405,1.10399,1.10401
46,2024-10-01 07:32:25,1.10398,1.10401,1.10394,1.10394
47,2024-10-01 07:32:30,1.10395,1.10395,1.10388,1.10389
48,2024-10-01 07:32:35,1.1039,1.10401,1.1039,1.10401
49,2024-10-01 07:32:40,1.104,1.104,1.10397,1.104
50,2024-10-01 07:32:45,1.10403,1.1041,1.10403,1.10408
51,2024-10-01 07:32:50,1.10408,1.10409,1.1039,1.1039
52,2024-10-01 07:32:55,1.1039,1.10394,1.10388,1.10388
53,2024-10-01 07:33:00,1.10387,1.10389,1.10383,1.10385
54,2024-10-01 07:33:05,1.10386,1.10386,1.10378,1.10378
55,2024-10-01 07:33:10,1.10378,1.10386,1.10378,1.10382
56,2024-10-01 07:33:15,1.10381,1.10381,1.10377,1.1038
57,2024-10-01 07:33:20,1.10382,1.10389,1.10382,1.10389
58,2024-10-01 07:33:25,1.10389,1.10394,1.1038,1.10394
59,2024-10-01 07:33:30,1.10386,1.10391,1.10381,1.10381
60,2024-10-01 07:33:35,1.10381,1.10392,1.1038,1.10392
61,2024-10-01 07:33:40,1.10392,1.10392,1.10381,1.10386
62,2024-10-01 07:33:45,1.10384,1.10389,1.10384,1.10385
63,2024-10-01 07:33:50,1.10385,1.10385,1.10378,1.10378
64,2024-10-01 07:33:55,1.10375,1.10375,1.10366,1.10367
65,2024-10-01 07:34:00,1.10364,1.10369,1.10357,1.10358
66,2024-10-01 07:34:05,1.10358,1.10358,1.10343,1.10345
67,2024-10-01 07:34:10,1.10344,1.10351,1.10344,1.1035
68,2024-10-01 07:34:15,1.1035,1.1036,1.10347,1.1036
69,2024-10-01 07:34:20,1.1036,1.1036,1.10349,1.10349
70,2024-10-01 07:34:25,1.1035,1.10359,1.1035,1.10359
71,2024-10-01 07:34:30,1.10358,1.10366,1.10357,1.10364
72,2024-10-01 07:34:35,1.1036,1.1036,1.10354,1.10354
73,2024-10-01 07:34:40,1.10354,1.10354,1.10347,1.10347
74,2024-10-01 07:34:45,1.10352,1.10354,1.10345,1.10354
75,2024-10-01 07:34:50,1.10357,1.10357,1.1035,1.10351
76,2024-10-01 07:34:55,1.10351,1.10357,1.10349,1.10353
77,2024-10-01 07:35:00,1.10352,1.10356,1.10339,1.10339
78,2024-10-01 07:35:05,1.10341,1.10355,1.10341,1.10348
79,2024-10-01 07:35:10,1.10348,1.10351,1.10347,1.1035
80,2024-10-01 07:35:15,1.10346,1.10353,1.10342,1.10353
81,2024-10-01 07:35:20,1.10356,1.10357,1.10346,1.10347
82,2024-10-01 07:35:25,1.10347,1.10351,1.10345,1.10348
83,2024-10-01 07:35:30,1.10347,1.10347,1.10341,1.10346
84,2024-10-01 07:35:35,1.10345,1.10347,1.10343,1.10346
85,2024-10-01 07:35:40,1.10346,1.10348,1.10331,1.10332
86,2024-10-01 07:35:45,1.10331,1.10332,1.10324,1.10327
87,2024-10-01 07:35:50,1.10333,1.10338,1.10328,1.10335
88,2024-10-01 07:35:55,1.10335,1.10336,1.10317,1.10319
89,2024-10-01 07:36:00,1.1032,1.10326,1.1032,1.10326
90,2024-10-01 07:36:05,1.10328,1.10348,1.10328,1.10348
91,2024-10-01 07:36:10,1.10348,1.10357,1.10348,1.10356
92,2024-10-01 07:36:15,1.10356,1.10361,1.10356,1.10359
93,2024-10-01 07:36:20,1.10361,1.10366,1.10361,1.10363
94,2024-10-01 07:36:25,1.10363,1.10375,1.10363,1.10375
95,2024-10-01 07:36:30,1.10374,1.10381,1.10374,1.10381
96,2024-10-01 07:36:35,1.10379,1.10387,1.10379,1.10382
97,2024-10-01 07:36:40,1.10382,1.10382,1.10371,1.10379
98,2024-10-01 07:36:45,1.10377,1.10377,1.10372,1.10375
99,2024-10-01 07:36:50,1.10375,1.1038,1.10371,1.1038
100,2024-10-01 07:36:55,1.1038,1.10387,1.1038,1.10386
101,2024-10-01 07:37:00,1.10384,1.10384,1.10371,1.10371
102,2024-10-01 07:37:05,1.10371,1.10376,1.1037,1.1037
103,2024-10-01 07:37:10,1.1037,1.10375,1.10367,1.10375
104,2024-10-01 07:37:15,1.10371,1.10382,1.10371,1.10378
105,2024-10-01 07:37:20,1.10378,1.1038,1.10375,1.10376
106,2024-10-01 07:37:25,1.10376,1.10381,1.10376,1.10381
107,2024-10-01 07:37:30,1.10381,1.10394,1.10378,1.10394
108,2024-10-01 07:37:35,1.10394,1.10395,1.10385,1.10386
109,2024-10-01 07:37:40,1.10386,1.10388,1.10385,1.10388
110,2024-10-01 07:37:45,1.1039,1.10391,1.10387,1.10387
111,2024-10-01 07:37:50,1.10387,1.10392,1.10384,1.10392
112,2024-10-01 07:37:55,1.10392,1.10392,1.10382,1.10384
113,2024-10-01 07:38:00,1.10388,1.10397,1.10384,1.10397
114,2024-10-01 07:38:05,1.10397,1.10401,1.10393,1.10395
115,2024-10-01 07:38:10,1.10394,1.10398,1.10394,1.10397
116,2024-10-01 07:38:15,1.10396,1.10402,1.10396,1.10402
117,2024-10-01 07:38:20,1.10397,1.10399,1.10393,1.10395
118,2024-10-01 07:38:25,1.10396,1.10402,1.10394,1.10398
119,2024-10-01 07:38:30,1.10398,1.10402,1.10397,1.10398
120,2024-10-01 07:38:35,1.10397,1.10408,1.10397,1.10403
121,2024-10-01 07:38:40,1.10405,1.10422,1.10405,1.10421
122,2024-10-01 07:38:45,1.10423,1.10431,1.10423,1.10431
123,2024-10-01 07:38:50,1.10431,1.10433,1.10429,1.1043
124,2024-10-01 07:38:55,1.10432,1.10437,1.10432,1.10437
125,2024-10-01 07:39:00,1.10436,1.10441,1.10434,1.1044
126,2024-10-01 07:39:05,1.10442,1.10442,1.10438,1.10438
127,2024-10-01 07:39:10,1.10437,1.10447,1.10437,1.10438
128,2024-10-01 07:39:15,1.10437,1.10454,1.10432,1.10452
129,2024-10-01 07:39:20,1.10453,1.10457,1.10453,1.10456
130,2024-10-01 07:39:25,1.10457,1.10458,1.10455,1.10456
131,2024-10-01 07:39:30,1.10455,1.10458,1.10452,1.10452
132,2024-10-01 07:39:35,1.10451,1.10451,1.10438,1.10438
133,2024-10-01 07:39:40,1.10438,1.1044,1.10431,1.1044
134,2024-10-01 07:39:45,1.10441,1.10443,1.1044,1.10441
135,2024-10-01 07:39:50,1.10441,1.10452,1.10441,1.10444
136,2024-10-01 07:39:55,1.10444,1.10446,1.10442,1.10446
137,2024-10-01 07:40:00,1.10445,1.10455,1.10442,1.10455
138,2024-10-01 07:40:05,1.10454,1.10457,1.10454,1.10456
139,2024-10-01 07:40:10,1.10456,1.10461,1.10456,1.10459
140,2024-10-01 07:40:15,1.10458,1.10463,1.10457,1.10459
141,2024-10-01 07:40:20,1.10459,1.10461,1.10454,1.10457
142,2024-10-01 07:40:25,1.10457,1.10458,1.10437,1.10438
143,2024-10-01 07:40:30,1.10433,1.10433,1.10423,1.10429
144,2024-10-01 07:40:35,1.10426,1.10433,1.10425,1.1043
145,2024-10-01 07:40:40,1.1043,1.1043,1.10413,1.10413
146,2024-10-01 07:40:45,1.10415,1.10422,1.10414,1.10422
147,2024-10-01 07:40:50,1.10421,1.10422,1.10411,1.10412
148,2024-10-01 07:40:55,1.10412,1.10415,1.1041,1.10413
149,2024-10-01 07:41:00,1.10414,1.10423,1.10414,1.10421
150,2024-10-01 07:41:05,1.10421,1.10421,1.10404,1.10405
151,2024-10-01 07:41:10,1.10405,1.1041,1.10405,1.10405
152,2024-10-01 07:41:15,1.10404,1.10407,1.10403,1.10403
153,2024-10-01 07:41:20,1.10403,1.10405,1.10395,1.10395
154,2024-10-01 07:41:25,1.10395,1.10398,1.1039,1.1039
155,2024-10-01 07:41:30,1.10389,1.1039,1.10384,1.10385
156,2024-10-01 07:41:35,1.10385,1.10389,1.10379,1.10381
157,2024-10-01 07:41:40,1.10381,1.10389,1.10381,1.10385
158,2024-10-01 07:41:45,1.10391,1.104,1.10391,1.104
159,2024-10-01 07:41:50,1.10398,1.10404,1.10398,1.10401
160,2024-10-01 07:41:55,1.10403,1.10412,1.10403,1.1041
161,2024-10-01 07:42:00,1.1041,1.10416,1.1041,1.10416
162,2024-10-01 07:42:05,1.10412,1.10417,1.10412,1.10417
163,2024-10-01 07:42:10,1.10419,1.10421,1.10412,1.10413
164,2024-10-01 07:42:15,1.10413,1.10415,1.10404,1.10405
165,2024-10-01 07:42:20,1.10404,1.10404,1.10395,1.10399
166,2024-10-01 07:42:25,1.10396,1.10399,1.10395,1.10399
167,2024-10-01 07:42:30,1.10399,1.10406,1.10394,1.10394
168,2024-10-01 07:42:35,1.10392,1.104,1.10392,1.104
169,2024-10-01 07:42:40,1.10403,1.10405,1.104,1.104
170,2024-10-01 07:42:45,1.104,1.10404,1.10397,1.10402
171,2024-10-01 07:42:50,1.104,1.10402,1.10394,1.10394
172,2024-10-01 07:42:55,1.10392,1.10395,1.1039,1.10395
173,2024-10-01 07:43:00,1.10395,1.10397,1.10393,1.10396
174,2024-10-01 07:43:05,1.10394,1.10395,1.10388,1.10395
175,2024-10-01 07:43:10,1.10395,1.10407,1.10395,1.10405
176,2024-10-01 07:43:15,1.10405,1.10405,1.10397,1.104
177,2024-10-01 07:43:20,1.104,1.10406,1.10398,1.10398
178,2024-10-01 07:43:25,1.10399,1.10399,1.10391,1.10391
179,2024-10-01 07:43:30,1.10391,1.10391,1.10388,1.10391
180,2024-10-01 07:43:35,1.10389,1.10389,1.10386,1.10388
181,2024-10-01 07:43:40,1.10388,1.10388,1.10381,1.10382
182,2024-10-01 07:43:45,1.10382,1.10391,1.1038,1.1038
183,2024-10-01 07:43:50,1.10379,1.10381,1.10366,1.10368
184,2024-10-01 07:43:55,1.10368,1.1037,1.10361,1.1037
185,2024-10-01 07:44:00,1.10371,1.10373,1.10369,1.10369
186,2024-10-01 07:44:05,1.1037,1.1037,1.10366,1.10367
187,2024-10-01 07:44:10,1.10367,1.10371,1.10362,1.10362
188,2024-10-01 07:44:15,1.10367,1.10372,1.10366,1.10369
189,2024-10-01 07:44:20,1.1037,1.10374,1.1037,1.10373
190,2024-10-01 07:44:25,1.10376,1.10378,1.10372,1.10374
